physical address,number of rooms,area of apartment,number of floors,apartment floor,price,repair,bathroom,view from the windows,terrace,year of construction,elevator,type of house,parking,link
"Москва, Очаковское ш., 15к1",студия,24.1 м²,12,1,7500000,евро,совмещенный,,,1971.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_241_m_112_et._4437571222?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. 50 лет Октября, 23к1",1,15.1 м²,9,1,3599000,требует ремонта,совмещенный,во двор,лоджия,1969.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_151_m_19_et._4644123000?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Перовское ш., 18/1",3,62.4 м²,8,4,13300000,косметический,раздельный,"во двор, на улицу",балкон,,,кирпичный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_624_m_48_et._4351239108?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Нахимовский пр-т, 31к3",2,65.5 м²,23,11,26500000,дизайнерский,раздельный,на улицу,балкон,2022.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_655_m_1123_et._4211702901?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Филипповский пер., 16",4,180 м²,5,4,125000000,дизайнерский,совмещенный,"во двор, на улицу",,1908.0,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_180_m_45_et._4237105576?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Петровка, 19с1",студия,16.9 м²,4,2,11330000,дизайнерский,совмещенный,на улицу,,1875.0,1,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_169_m_24_et._4200259219?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, наб. Марка Шагала, 1к2",2,64.8 м²,14,8,28350000,дизайнерский,совмещенный,,,2019.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_648_m_814_et._4683470665?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большая Грузинская ул., 69",3,87.5 м²,10,8,55212000,дизайнерский,совмещенный,во двор,,2008.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_875_m_810_et._4538619437?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Генерала Антонова, 5к1",3,58.6 м²,9,3,15952800,косметический,совмещенный,,балкон,1968.0,1,панельный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_586_m_39_et._4559420234?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большой Девятинский пер., 4",3,55 м²,5,3,31000000,косметический,раздельный,"во двор, на улицу",балкон,1935.0,нет,кирпичный,"открытая во дворе, за шлагбаумом во дворе",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_55_m_35_et._4130701204?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Академика Янгеля, 8",1,31.1 м²,12,2,9950000,дизайнерский,совмещенный,во двор,балкон,1971.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_311_m_212_et._4200139844?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большой Козловский пер., 8",студия,25 м²,5,3,10520000,евро,совмещенный,"на улицу, на солнечную сторону",,1910.0,1,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_25_m_35_et._4445368020?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ходынский б-р, 2",1,57 м²,15,7,22800000,евро,совмещенный,,,2016.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_57_m_715_et._4472581711?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Минская ул., 1Гк1",4,169.5 м²,22,16,72200000,дизайнерский,совмещенный,на солнечную сторону,балкон,2005.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1695_m_1622_et._4342486675?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Старопименовский пер., 4с1",студия,18.2 м²,7,3,15100000,евро,совмещенный,,,1934.0,1,кирпичный,"открытая во дворе, за шлагбаумом во дворе",https://www.avito.ru/moskva/kvartiry/kvartira-studiya_182_m_37_et._4518517618?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ивановская ул., 19",1,54 м²,22,15,27800000,евро,совмещенный,,,2018.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_54_m_1522_et._4443661504?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Милютинский пер., 20/2с1",студия,12.4 м²,8,1,5000000,требует ремонта,совмещенный,,,,,кирпичный,,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_124_m_18_et._4471164843?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большая Филёвская ул., 3к3",3,75 м²,20,3,44500000,дизайнерский,"совмещенный, раздельный",на улицу,балкон,2020.0,нет,панельный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_75_m_320_et._4542218529?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Костикова, 4к1",1,51 м²,21,6,32500000,дизайнерский,совмещенный,во двор,,2023.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_51_m_621_et._4187180427?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Орджоникидзе, 5к2",студия,15.9 м²,5,1,3550000,косметический,раздельный,,,1934.0,1,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_159_m_15_et._4514806219?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Перерва, 12",2,52 м²,12,3,10800000,требует ремонта,раздельный,во двор,лоджия,1980.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_52_m_312_et._4660322637?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ш. Энтузиастов, 11с7",студия,14.3 м²,3,3,3016000,косметический,совмещенный,на улицу,,1914.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_143_m_33_et._4605845566?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Страстной б-р, 7с1",студия,18.4 м²,6,2,16350000,евро,совмещенный,,,1900.0,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_184_m_26_et._4539796720?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Карамышевская наб., 2А",3,126.9 м²,31,14,41000000,требует ремонта,"совмещенный, раздельный",во двор,лоджия,2019.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1269_m_1431_et._4192107012?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Казакова, 7",2,41 м²,11,8,25500000,,совмещенный,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_41_m_811_et._3761375639?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Викторенко, 11",2,67 м²,15,8,32500000,дизайнерский,совмещенный,"во двор, на улицу, на солнечную сторону",лоджия,2018.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_67_m_815_et._4319019405?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Планетная ул., 35",4,78.1 м²,5,2,25000000,требует ремонта,раздельный,во двор,,1956.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_781_m_25_et._4127711401?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Авиаторов, 12",2,53.9 м²,17,1,12700000,косметический,раздельный,на улицу,,1986.0,,панельный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_539_m_117_et._4203280315?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Верхние Поля, 38к1",3,77 м²,17,3,20000000,косметический,раздельный,,лоджия,,,панельный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_77_m_317_et._4414787968?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пр-д Невельского/ш. Энтузиастов/ул. Золоторожский Вал, стр. 61, вл. 11",1,33.5 м²,25,10,14200000,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_335_m_1025_et._4962282609?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Серпуховский Вал, 21к3",1,41.6 м²,18,9,25019500,дизайнерский,совмещенный,во двор,,2017.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_416_m_918_et._4643753190?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Волоколамское ш., 95/2к10",4,108.1 м²,20,9,39900000,требует ремонта,совмещенный,"во двор, на улицу",,2022.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1081_m_920_et._4575628906?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 2-я Пугачёвская ул., 7к1",студия,14 м²,12,1,4450000,требует ремонта,совмещенный,во двор,,1971.0,1,блочный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_14_m_112_et._4624034511?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Кедрова, 19к1",4,96 м²,17,3,37990000,евро,раздельный,во двор,"балкон, лоджия",1997.0,1,блочный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_96_m_317_et._4666301433?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Генерала Белобородова, 32",2,52.8 м²,6,4,15800000,косметический,совмещенный,"во двор, на улицу",лоджия,1999.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_528_m_46_et._4540685067?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Газопровод, 1к6",3,67.2 м²,12,7,15300000,косметический,раздельный,"во двор, на улицу",балкон,,,панельный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_672_m_712_et._4495045801?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Новомосковский административный округ, поселение Внуковское, ул. Бориса Пастернака, 43",2,51.3 м²,19,12,15990000,дизайнерский,раздельный,на улицу,лоджия,,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_513_m_1219_et._3711725704?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Рождественская ул., 8",1,33 м²,24,16,9700000,косметический,совмещенный,во двор,лоджия,2024.0,2,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_1624_et._4559258631?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ленинский пр-т, 30",2,56.4 м²,14,2,26500000,косметический,раздельный,на улицу,,1946.0,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_564_m_214_et._4089158667?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 3-й Митинский пер., 7",3,74 м²,17,10,21500000,евро,,,лоджия,,,панельный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_74_m_1017_et._4433223189?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большой Козихинский пер., 8",студия,16.4 м²,4,2,12400000,евро,совмещенный,во двор,,1904.0,нет,монолитный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_164_m_24_et._3911867672?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ломоносовский пр-т, 36",3,92 м²,14,6,67500000,требует ремонта,раздельный,"на улицу, на солнечную сторону",лоджия,2022.0,1,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_92_m_614_et._4404117127?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Богданова, 2к1",2,52 м²,23,9,15500000,евро,раздельный,во двор,лоджия,2010.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_52_m_923_et._4428614114?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Страстной б-р, 14/16",студия,27.5 м²,6,2,18000000,евро,совмещенный,,,,,кирпичный,,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_275_m_26_et._4574458969?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Новоясеневский пр-т, 3В",1,45.2 м²,14,6,12600000,требует ремонта,совмещенный,на улицу,,2023.0,4,монолитный,"подземная, за шлагбаумом во дворе",https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_452_m_614_et._4390759552?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. 50 лет Октября, 23",студия,10.3 м²,9,1,3799850,евро,совмещенный,во двор,,1969.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_103_m_19_et._4644402443?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большой Николоворобинский пер., 9к1",2,60 м²,9,2,93000000,дизайнерский,совмещенный,во двор,,2020.0,1,монолитный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_60_m_29_et._3359316704?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Карамышевская наб., 2А",5,202 м²,31,25,49000000,требует ремонта,раздельный,,лоджия,2019.0,3,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/5-k._kvartira_202_m_2531_et._4540161213?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Расплетина, 7",2,55.7 м²,5,5,17750000,дизайнерский,раздельный,"во двор, на солнечную сторону",,1956.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_557_m_55_et._4362216716?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Милютинский пер., 20/2с1",студия,12.4 м²,8,1,5000000,требует ремонта,совмещенный,,,,,кирпичный,,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_124_m_18_et._4471164843?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большая Филёвская ул., 3к3",3,75 м²,20,3,44500000,дизайнерский,"совмещенный, раздельный",на улицу,балкон,2020.0,нет,панельный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_75_m_320_et._4542218529?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Костикова, 4к1",1,51 м²,21,6,32500000,дизайнерский,совмещенный,во двор,,2023.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_51_m_621_et._4187180427?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Орджоникидзе, 5к2",студия,15.9 м²,5,1,3550000,косметический,раздельный,,,1934.0,1,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_159_m_15_et._4514806219?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Перерва, 12",2,52 м²,12,3,10800000,требует ремонта,раздельный,во двор,лоджия,1980.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_52_m_312_et._4660322637?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ш. Энтузиастов, 11с7",студия,14.3 м²,3,3,3016000,косметический,совмещенный,на улицу,,1914.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_143_m_33_et._4605845566?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Страстной б-р, 7с1",студия,18.4 м²,6,2,16350000,евро,совмещенный,,,1900.0,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_184_m_26_et._4539796720?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Карамышевская наб., 2А",3,126.9 м²,31,14,41000000,требует ремонта,"совмещенный, раздельный",во двор,лоджия,2019.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1269_m_1431_et._4192107012?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Казакова, 7",2,41 м²,11,8,25500000,,совмещенный,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_41_m_811_et._3761375639?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Викторенко, 11",2,67 м²,15,8,32500000,дизайнерский,совмещенный,"во двор, на улицу, на солнечную сторону",лоджия,2018.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_67_m_815_et._4319019405?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Планетная ул., 35",4,78.1 м²,5,2,25000000,требует ремонта,раздельный,во двор,,1956.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_781_m_25_et._4127711401?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Авиаторов, 12",2,53.9 м²,17,1,12700000,косметический,раздельный,на улицу,,1986.0,,панельный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_539_m_117_et._4203280315?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Верхние Поля, 38к1",3,77 м²,17,3,20000000,косметический,раздельный,,лоджия,,,панельный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_77_m_317_et._4414787968?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пр-д Невельского/ш. Энтузиастов/ул. Золоторожский Вал, стр. 61, вл. 11",1,33.5 м²,25,10,14200000,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_335_m_1025_et._4962282609?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Серпуховский Вал, 21к3",1,41.6 м²,18,9,25019500,дизайнерский,совмещенный,во двор,,2017.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_416_m_918_et._4643753190?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Волоколамское ш., 95/2к10",4,108.1 м²,20,9,39900000,требует ремонта,совмещенный,"во двор, на улицу",,2022.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1081_m_920_et._4575628906?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 2-я Пугачёвская ул., 7к1",студия,14 м²,12,1,4450000,требует ремонта,совмещенный,во двор,,1971.0,1,блочный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_14_m_112_et._4624034511?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Кедрова, 19к1",4,96 м²,17,3,37990000,евро,раздельный,во двор,"балкон, лоджия",1997.0,1,блочный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_96_m_317_et._4666301433?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Генерала Белобородова, 32",2,52.8 м²,6,4,15800000,косметический,совмещенный,"во двор, на улицу",лоджия,1999.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_528_m_46_et._4540685067?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Газопровод, 1к6",3,67.2 м²,12,7,15300000,косметический,раздельный,"во двор, на улицу",балкон,,,панельный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_672_m_712_et._4495045801?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Новомосковский административный округ, поселение Внуковское, ул. Бориса Пастернака, 43",2,51.3 м²,19,12,15990000,дизайнерский,раздельный,на улицу,лоджия,,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_513_m_1219_et._3711725704?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Рождественская ул., 8",1,33 м²,24,16,9700000,косметический,совмещенный,во двор,лоджия,2024.0,2,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_1624_et._4559258631?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ленинский пр-т, 30",2,56.4 м²,14,2,26500000,косметический,раздельный,на улицу,,1946.0,1,кирпичный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_564_m_214_et._4089158667?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 3-й Митинский пер., 7",3,74 м²,17,10,21500000,евро,,,лоджия,,,панельный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_74_m_1017_et._4433223189?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Большой Козихинский пер., 8",студия,16.4 м²,4,2,12400000,евро,совмещенный,во двор,,1904.0,нет,монолитный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_164_m_24_et._3911867672?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ломоносовский пр-т, 36",3,92 м²,14,6,67500000,требует ремонта,раздельный,"на улицу, на солнечную сторону",лоджия,2022.0,1,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_92_m_614_et._4404117127?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
